As of Date,Facility Name,County,"Confirmed Cases (Incarcerated population, 7-day diff)","Confirmed Cases (Incarcerated population, cumulative)","Active Cases (Incarcerated population, current)",a,"Resolved Cases (Incarcerated population, 7-day diff)","Deaths (Incarcerated population, 7-day diff)","Tests (Incarcerated population, 7-day diff)","Tests (Incarcerated population, cumulative)","Population (Incarcerated population, current)","Fully Vaccinated (Incarcerated population, cumulative)","Fully Vaccinated (Incarcerated population, current)",Percent of Population Fully Vaccinated (Incarcerated population)
8/15/2020,Youth Detention Facility,Sacramento County,2,2,,,,,15,15,,,,
8/22/2020,Youth Detention Facility,Sacramento County,0,2,,,,,0,15,,,,
9/13/2020,Youth Detention Facility,Sacramento County,0,2,0,1,1,0,8,23,94,,,
9/20/2020,Youth Detention Facility,Sacramento County,0,2,0,0,0,0,12,35,95,,,
9/26/2020,Youth Detention Facility,Sacramento County,0,2,0,0,0,0,11,46,93,,,
10/3/2020,Youth Detention Facility,Sacramento County,0,2,0,0,0,0,14,60,90,,,
10/10/2020,Youth Detention Facility,Sacramento County,1,3,1,0,0,0,11,71,84,,,
10/17/2020,Youth Detention Facility,Sacramento County,0,3,1,0,0,0,12,83,86,,,
10/24/2020,Youth Detention Facility,Sacramento County,1,4,1,0,1,0,20,103,93,,,
10/31/2020,Youth Detention Facility,Sacramento County,1,5,1,0,1,0,16,119,102,,,
11/7/2020,Youth Detention Facility,Sacramento County,0,5,0,0,1,0,12,131,106,,,
11/14/2020,Youth Detention Facility,Sacramento County,1,6,1,0,0,0,21,152,111,,,
11/21/2020,Youth Detention Facility,Sacramento County,2,8,3,0,0,0,12,164,108,,,
11/28/2020,Youth Detention Facility,Sacramento County,0,8,0,0,1,0,6,170,97,,,
12/5/2020,Youth Detention Facility,Sacramento County,3,11,3,0,0,0,28,198,97,,,
12/12/2020,Youth Detention Facility,Sacramento County,0,11,2,0,1,0,11,209,93,,,
12/19/2020,Youth Detention Facility,Sacramento County,1,12,1,0,2,0,20,229,97,,,
12/26/2020,Youth Detention Facility,Sacramento County,3,15,3,0,1,0,14,243,101,,,
1/2/2021,Youth Detention Facility,Sacramento County,1,16,1,0,3,0,12,255,102,,,
1/9/2021,Youth Detention Facility,Sacramento County,1,17,0,0,1,0,13,268,101,,,
1/16/2021,Youth Detention Facility,Sacramento County,1,18,1,0,0,0,17,285,102,,,
1/23/2021,Youth Detention Facility,Sacramento County,1,19,1,0,1,0,12,297,102,,,
1/30/2021,Youth Detention Facility,Sacramento County,1,20,1,0,1,0,13,310,95,,,
2/6/2021,Youth Detention Facility,Sacramento County,0,20,0,0,1,0,7,317,92,,,
2/13/2021,Youth Detention Facility,Sacramento County,0,20,0,0,0,0,16,333,90,,,
2/20/2021,Youth Detention Facility,Sacramento County,0,20,0,0,0,0,16,349,91,,,
2/28/2021,Youth Detention Facility,Sacramento County,1,21,1,0,1,0,15,364,92,,,
3/6/2021,Youth Detention Facility,Sacramento County,0,21,,,,,0,364,95,,,
3/13/2021,Youth Detention Facility,Sacramento County,0,21,,,,,0,364,96,,,
3/20/2021,Youth Detention Facility,Sacramento County,0,21,,,,,0,364,99,,,
3/27/2021,Youth Detention Facility,Sacramento County,0,21,0,0,0,0,22,386,103,,,
4/3/2021,Youth Detention Facility,Sacramento County,2,23,2,0,0,0,22,408,102,,,
4/10/2021,Youth Detention Facility,Sacramento County,1,24,0,0,0,0,9,417,103,,,
4/17/2021,Youth Detention Facility,Sacramento County,0,24,0,0,1,0,19,436,103,,,
4/24/2021,Youth Detention Facility,Sacramento County,4,28,2,2,0,0,25,461,109,,,
5/1/2021,Youth Detention Facility,Sacramento County,0,28,1,0,0,0,21,482,111,,,
5/8/2021,Youth Detention Facility,Sacramento County,1,29,1,0,1,0,17,499,112,,,
5/15/2021,Youth Detention Facility,Sacramento County,0,29,0,0,1,0,15,514,109,,,
5/22/2021,Youth Detention Facility,Sacramento County,1,30,0,0,0,0,16,530,109,,,
5/29/2021,Youth Detention Facility,Sacramento County,0,30,0,0,0,0,15,545,109,,,
6/5/2021,Youth Detention Facility,Sacramento County,1,31,0,1,0,0,25,570,114,,,
6/12/2021,Youth Detention Facility,Sacramento County,0,31,0,0,0,0,35,605,126,,,
6/19/2021,Youth Detention Facility,Sacramento County,0,31,0,0,0,0,20,625,132,,,
6/26/2021,Youth Detention Facility,Sacramento County,1,32,1,0,0,0,26,651,131,,,
7/3/2021,Youth Detention Facility,Sacramento County,0,32,0,0,0,0,24,675,126,,,
7/10/2021,Youth Detention Facility,Sacramento County,0,32,0,0,0,0,8,683,117,,,
7/17/2021,Youth Detention Facility,Sacramento County,1,33,1,0,0,0,21,704,113,,,
7/24/2021,Youth Detention Facility,Sacramento County,1,34,1,0,1,0,19,723,110,,,
7/31/2021,Youth Detention Facility,Sacramento County,3,37,3,0,1,0,24,747,111,,,
8/7/2021,Youth Detention Facility,Sacramento County,0,37,0,0,3,0,14,761,106,,,
8/14/2021,Youth Detention Facility,Sacramento County,2,39,1,0,0,0,57,818,109,,,
8/28/2021,Youth Detention Facility,Sacramento County,1,40,1,0,1,0,29,847,112,,,
9/4/2021,Youth Detention Facility,Sacramento County,0,40,0,0,1,0,20,867,105,,,
9/11/2021,Youth Detention Facility,Sacramento County,1,41,1,0,0,0,31,898,106,,,
9/18/2021,Youth Detention Facility,Sacramento County,1,42,1,0,0,0,42,940,108,,,
9/25/2021,Youth Detention Facility,Sacramento County,1,43,1,0,0,0,44,984,105,,,
10/2/2021,Youth Detention Facility,Sacramento County,1,44,0,0,0,0,46,1030,103,,,
10/16/2021,Youth Detention Facility,Sacramento County,0,44,0,0,4,0,31,1061,110,,,
10/23/2021,Youth Detention Facility,Sacramento County,0,44,0,0,0,0,40,1101,112,,,
10/30/2021,Youth Detention Facility,Sacramento County,1,45,1,0,0,0,28,1129,116,,,
11/6/2021,Youth Detention Facility,Sacramento County,0,45,0,0,2,0,42,1171,126,,,
11/13/2021,Youth Detention Facility,Sacramento County,0,45,0,0,0,0,25,1196,126,,,
11/19/2021,Youth Detention Facility,Sacramento County,0,45,,,,,0,1196,,87,,
11/20/2021,Youth Detention Facility,Sacramento County,0,45,0,0,0,0,33,1229,125,,,
11/27/2021,Youth Detention Facility,Sacramento County,0,45,0,0,0,0,14,1243,123,,,
12/4/2021,Youth Detention Facility,Sacramento County,1,46,1,0,0,0,17,1260,129,,,
12/112021,Youth Detention Facility,Sacramento County,1,47,1,0,0,0,17,1277,133,,,
12/18/2021,Youth Detention Facility,Sacramento County,0,47,0,0,1,0,21,1298,127,,,
12/25/2021,Youth Detention Facility,Sacramento County,0,47,0,0,0,0,14,1312,123,,,
12/31/2021,Youth Detention Facility,Sacramento County,0,47,,,,,0,1312,,102,,
1/1/2022,Youth Detention Facility,Sacramento County,0,47,0,0,0,0,22,1334,117,,,
1/8/2022,Youth Detention Facility,Sacramento County,6,53,6,0,0,0,31,1365,116,,,
1/15/2022,Youth Detention Facility,Sacramento County,15,68,15,0,0,0,58,1423,121,,,
1/22/2022,Youth Detention Facility,Sacramento County,4,72,12,0,6,0,35,1458,119,114,,
1/29/2022,Youth Detention Facility,Sacramento County,7,79,2,0,4,0,31,1489,117,,,
2/5/2022,Youth Detention Facility,Sacramento County,7,86,4,0,7,0,43,1532,113,,,
2/12/2022,Youth Detention Facility,Sacramento County,1,87,1,0,7,0,12,1544,109,,,
2/19/2022,Youth Detention Facility,Sacramento County,1,88,1,0,1,0,27,1571,112,,,
2/22/2022,Youth Detention Facility,Sacramento County,1,89,,,,,0,,110,118,37,34%
2/26/2022,Youth Detention Facility,Sacramento County,0,88,0,0,1,0,13,1584,110,,,
3/5/2022,Youth Detention Facility,Sacramento County,1,89,0,0,0,0,21,1605,109,,,
3/12/2022,Youth Detention Facility,Sacramento County,1,90,1,0,0,0,16,1621,113,,,
3/19/2022,Youth Detention Facility,Sacramento County,0,90,0,0,1,0,23,1644,113,,,
3/26/2022,Youth Detention Facility,Sacramento County,0,90,0,0,0,0,19,1663,111,,,
4/2/2022,Youth Detention Facility,Sacramento County,0,90,0,0,0,0,22,1685,114,,,
4/9/2022,Youth Detention Facility,Sacramento County,0,90,0,0,0,0,19,1704,123,,,
4/16/2022,Youth Detention Facility,Sacramento County,0,90,0,0,0,0,17,1721,122,,,
4/23/2022,Youth Detention Facility,Sacramento County,0,90,0,0,0,0,29,1750,125,,,
4/30/2022,Youth Detention Facility,Sacramento County,0,90,0,0,0,0,18,1768,126,,,
5/7/2022,Youth Detention Facility,Sacramento County,0,90,0,0,0,0,16,1784,129,,,
5/14/2022,Youth Detention Facility,Sacramento County,0,90,0,0,0,0,17,1801,123,,,
5/21/2022,Youth Detention Facility,Sacramento County,2,92,0,2,0,0,19,1820,120,,,
5/28/2022,Youth Detention Facility,Sacramento County,0,92,0,0,0,0,18,1838,121,,,
6/4/2022,Youth Detention Facility,Sacramento County,0,92,0,0,0,0,20,1858,129,,,
6/11/2022,Youth Detention Facility,Sacramento County,0,92,0,0,0,0,21,1879,133,,,
6/18/2022,Youth Detention Facility,Sacramento County,0,92,0,0,0,0,26,1905,139,,,
6/25/2022,Youth Detention Facility,Sacramento County,2,94,2,0,0,0,24,1929,139,,,
